Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,3,20/01/2026 20:45,,"Salford City","Swindon Town",
2,4,13/02/2026 20:45,,"Hull City","Chelsea",
3,4,13/02/2026 20:45,,"Wrexham","Ipswich Town",
4,4,14/02/2026 13:15,,"Burton Albion","West Ham United",
5,4,14/02/2026 16:00,,"Burnley","Mansfield Town",
6,4,14/02/2026 16:00,,"Norwich City","West Bromwich Albion",
7,4,14/02/2026 16:00,,"Port Vale","Bristol City",
8,4,14/02/2026 16:00,,"Southampton","Leicester City",
9,4,14/02/2026 18:45,,"Aston Villa","Newcastle United",
10,4,14/02/2026 21:00,,"Liverpool","Brighton & Hove Albion",
11,4,15/02/2026 13:00,,"Birmingham City","Leeds United",
12,4,15/02/2026 14:30,,"Grimsby Town","Wolverhampton Wanderers",
13,4,15/02/2026 15:00,,"Oxford United","Sunderland",
14,4,15/02/2026 15:00,,"Stoke City","Fulham",
15,4,15/02/2026 17:30,,"Arsenal","Wigan Athletic",
16,4,16/02/2026 20:30,,"Macclesfield","Brentford",
17,4,15/02/2026 12:00,,"Manchester City","Winner of Exeter/Salford",
